Headline Word,Headline Frequency,Headline Percent
Alt-EPA,1,0.000501781
Alter,3,0.001505344
Altercation,1,0.000501781
Altered,2,0.001003563
Alternate,7,0.003512469
Alternative,10,0.005017813
Alternative,3,0.001505344
Alternatives,2,0.001003563
Alt-Labor,1,0.000501781
Alt-Left,1,0.000501781
Alt-Left,1,0.000501781
Alton,7,0.003512469
Alt-Right,19,0.009533845
Alt-Right,2,0.001003563
Alum,1,0.000501781
Aluminum,1,0.000501781
Alumni,5,0.002508907
Always,29,0.014551658
Always,1,0.000501781
Alyssa,1,0.000501781
Alzheimer,4,0.002007125
AMA,2,0.001003563
Amanda,1,0.000501781
Amash,1,0.000501781
Amateur,1,0.000501781
Amateurish,1,0.000501781
Amazing,15,0.00752672
Amazing,2,0.001003563
Amazingly,1,0.000501781
Amazon,10,0.005017813
Amb,1,0.000501781
Ambassador,42,0.021074816
Amber,1,0.000501781
Ambient,1,0.000501781
Ambition,2,0.001003563
Ambitions,3,0.001505344
Ambitious,8,0.004014251
Ambivalence,1,0.000501781
Ambush,2,0.001003563
Ambush,1,0.000501781
Ambushed,1,0.000501781
Ambush-Style,1,0.000501781
Amend,4,0.002007125
Amended,1,0.000501781
Amending,1,0.000501781
Amending,1,0.000501781
Amendment,50,0.025089066
America,426,0.213758844
America,6,0.003010688
America-First,1,0.000501781
American,267,0.133975613
American,4,0.002007125
AMERICAN,1,0.000501781
Americana,1,0.000501781
Americans,424,0.212755281
American-Style,1,0.000501781
Americas,1,0.000501781
AmeriCorps,1,0.000501781
Ames,1,0.000501781
Amicable,1,0.000501781
Amid,71,0.035626474
amid,1,0.000501781
Amidst,3,0.001505344
Ammo,5,0.002508907
Ammon,7,0.003512469
Ammosexual,1,0.000501781
Amnesia,3,0.001505344
Amnesty,5,0.002508907
Amnesty,2,0.001003563
Amnesty/,1,0.000501781
Amok,1,0.000501781
Among,52,0.026092629
Amongst,1,0.000501781
Amount,4,0.002007125
Amounted,1,0.000501781
Amounts,2,0.001003563
Ample,1,0.000501781
Amplifies,1,0.000501781
Amplify,2,0.001003563
Amps,3,0.001505344
Amtrak,7,0.003512469
Amy,1,0.000501781
An,7,0.003512469
Ana,1,0.000501781
Anachronism,1,0.000501781
Anagrams,1,0.000501781
Analogy,3,0.001505344
Analysis,9,0.004516032
Analyst,4,0.002007125
Analytics,1,0.000501781
Analyzing,2,0.001003563
Anarchy,2,0.001003563
Anastasio,1,0.000501781
Anatomy,2,0.001003563
Anchor,6,0.003010688
Anchor,2,0.001003563
And,1,0.000501781
Anderson,3,0.001505344
Andrew,28,0.014049877
Andrews,2,0.001003563
Andy,2,0.001003563
Anecdote,1,0.000501781
Anesthesia,1,0.000501781
Anew,1,0.000501781
Angel,1,0.000501781
Angela,5,0.002508907
Angeles,12,0.006021376
Angelou,2,0.001003563
Angels,1,0.000501781
Anger,22,0.011039189
anger,1,0.000501781
Angering,1,0.000501781
Angers,2,0.001003563
Angrier,1,0.000501781
Angrily,2,0.001003563
Angry,27,0.013548096
Angry…,1,0.000501781
Angst,1,0.000501781
Animal,11,0.005519595
Animal,1,0.000501781
Animals,2,0.001003563
Animosity,1,0.000501781
Anita,3,0.001505344
Ann,9,0.004516032
Annan,1,0.000501781
Anne,5,0.002508907
Annexation,2,0.001003563
Annihilate,1,0.000501781
Annihilate,1,0.000501781
Annihilation,1,0.000501781
Anniversaries,1,0.000501781
Anniversary,31,0.015555221
Annotated,1,0.000501781
Announce,22,0.011039189
Announced,2,0.001003563
Announcement,24,0.012042752
announcement,1,0.000501781
Announcements,1,0.000501781
Announces,69,0.034622911
Announcing,1,0.000501781
Annoyance,1,0.000501781
Annoyed,1,0.000501781
Annoying,3,0.001505344
Annual,6,0.003010688
Anointment,1,0.000501781
Anomaly,1,0.000501781
Anonymous,10,0.005017813
Another,197,0.098850921
Another,3,0.001505344
Answer,42,0.021074816
Answered,4,0.002007125
Answering,2,0.001003563
Answers,23,0.01154097
Antagonize,1,0.000501781
Antagonizing,1,0.000501781
Antarctic,1,0.000501781
Antarctica,2,0.001003563
Ante,1,0.000501781
Antebellum,1,0.000501781
Anthem,17,0.008530283
Anthony,43,0.021576597
Anthrax,3,0.001505344
Anthropocene,1,0.000501781
Anthropology,1,0.000501781
Anti,1,0.000501781
Anti-Abortion,45,0.02258016
Anti-abortion,1,0.000501781
anti-abortion,1,0.000501781
Anti-Aircraft,1,0.000501781
Anti-Asian,2,0.001003563
Anti-Bernie,1,0.000501781
Anti-Birth,1,0.000501781
Anti-Bullying,2,0.001003563
Anti-Choice,2,0.001003563
Anticipate,1,0.000501781
Anticipating,1,0.000501781
Anti-Citizens,1,0.000501781
Anti-Climate,1,0.000501781
Anti-Clinton,5,0.002508907
Anti-Coal,1,0.000501781
Anti-Comey,1,0.000501781
Anti-Cop,2,0.001003563
Anti-Corruption,2,0.001003563
Anti-Crime,1,0.000501781
Antics,1,0.000501781
Anti-Death,2,0.001003563
Anti-Defamation,3,0.001505344
Anti-Discrimination,2,0.001003563
Anti-Diversity,2,0.001003563
Anti-Donald,2,0.001003563
Antidote,6,0.003010688
Anti-Drug,4,0.002007125
Anti-Environment,1,0.000501781
Anti-Environmental,3,0.001505344
Anti-Establishment,1,0.000501781
Antietam,1,0.000501781
Anti-Extremism,1,0.000501781
Antifa,1,0.000501781
Anti-Fascist,2,0.001003563
Anti-Foreign,1,0.000501781
Anti-Free,1,0.000501781
Anti-Gang,1,0.000501781
Anti-Gay,22,0.011039189
Anti-GOP,1,0.000501781
Anti-Government,4,0.002007125
Anti-Growth,1,0.000501781
Anti-Hate,1,0.000501781
Anti-Hillary,2,0.001003563
Anti-Immigrant,14,0.007024939
Anti-Immigration,4,0.002007125
Anti-Intellectualism,1,0.000501781
Anti-Iran,2,0.001003563
Anti-ISIS,3,0.001505344
Anti-Islam,3,0.001505344
Anti-Islamophobia,1,0.000501781
Anti-Israel,1,0.000501781
Anti-Lawyer,1,0.000501781
Anti-LGBT,36,0.018064128
Anti-LGBT,1,0.000501781
Anti-LGBTQ,10,0.005017813
Anti-Marijuana,2,0.001003563
Anti-Media,1,0.000501781
Anti-Mexican,1,0.000501781
Anti-Missile,1,0.000501781
Anti-Moneyball,1,0.000501781
Anti-Mormon,1,0.000501781
Anti-Muslim,32,0.016057002
Anti-Nepotism,1,0.000501781
Anti-NRA,1,0.000501781
Anti-Obama,1,0.000501781
Anti-Obamacare,4,0.002007125
Anti-P.C,1,0.000501781
Anti-Palestinian,1,0.000501781
Anti-Planned,1,0.000501781
Anti-Police,3,0.001505344
Anti-Pot,2,0.001003563
Anti-Poverty,5,0.002508907
Anti-Poverty,1,0.000501781
Anti-POW,1,0.000501781
Anti-Profiling,1,0.000501781
Anti-Progressive,1,0.000501781
Anti-Protest,2,0.001003563
Antiquated,1,0.000501781
Antiquated,1,0.000501781
Antiquities,1,0.000501781
Anti-Racism,1,0.000501781
Anti-Racists,1,0.000501781
Anti-Rural,1,0.000501781
Anti-Sanctuary,1,0.000501781
Anti-Sanders,1,0.000501781
Anti-Science,2,0.001003563
Anti-Semite,1,0.000501781
Anti-Semites,1,0.000501781
Anti-Semitic,23,0.01154097
Anti-Semitism,16,0.008028501
Anti-Sharia,3,0.001505344
Anti-Slavery,1,0.000501781
Anti-Solar,1,0.000501781
Anti-Tax,2,0.001003563
Anti-Torture,1,0.000501781
Anti-Trans,8,0.004014251
Anti-Transgender,2,0.001003563
Anti-Trump,51,0.025590848
Anti-Trump,4,0.002007125
Antitrust,3,0.001505344
Anti-Union,4,0.002007125
Anti-Vaxxers,1,0.000501781
Anti-Veteran,1,0.000501781
Antiwar,1,0.000501781
Anti-War,1,0.000501781
Anti-Weed,1,0.000501781
Anti-Woman,1,0.000501781
Antoinette,1,0.000501781
Antonin,26,0.013046314
Antonio,11,0.005519595
Antonovich,1,0.000501781
Anxiety,9,0.004516032
Anxious,1,0.000501781
Anxiously,3,0.001505344
Any,1,0.000501781
Anybody,5,0.002508907
anybody,2,0.001003563
Anymore,20,0.010035626
Anyone,26,0.013046314
Anything,40,0.020071253
Anything,1,0.000501781
Anytime,3,0.001505344
Anyway,27,0.013548096
Anyways,1,0.000501781
Anywhere,7,0.003512469
AP,6,0.003010688
Apart,17,0.008530283
Apartheid,1,0.000501781
Apartment,1,0.000501781
Apathetic,1,0.000501781
Apathy,2,0.001003563
Apatow,1,0.000501781
Apes,1,0.000501781
Apocalypse,7,0.003512469
Apocalyptic,1,0.000501781
Apocalyptic,1,0.000501781
Apologies,2,0.001003563
Apologists,2,0.001003563
Apologize,21,0.010537408
Apologized,2,0.001003563
Apologizes,29,0.014551658
Apologizes,1,0.000501781
Apologizing,1,0.000501781
Apology,15,0.00752672
Apology,1,0.000501781
App,1,0.000501781
Appalachia,1,0.000501781
Appalachians,1,0.000501781
Appalled,2,0.001003563
Appalling,2,0.001003563
Apparent,7,0.003512469
Apparently,14,0.007024939
Apparition,1,0.000501781
Appeal,37,0.018565909
Appealing,2,0.001003563
Appeals,46,0.023081941
Appear,15,0.00752672
Appearance,13,0.006523157
Appearances,1,0.000501781
Appeared,2,0.001003563
Appears,25,0.012544533
Appease,1,0.000501781
Appeasement,1,0.000501781
Appeasing,1,0.000501781
Appellate,1,0.000501781
Applaud,3,0.001505344
Applauded,1,0.000501781
Applauds,7,0.003512469
Applause,2,0.001003563
Apple,12,0.006021376
Applebee,1,0.000501781
Apples,1,0.000501781
Applicants,2,0.001003563
Application,2,0.001003563
Applications,4,0.002007125
Applied,2,0.001003563
Applies,3,0.001505344
Apply,8,0.004014251
Applying,1,0.000501781
Appoint,2,0.001003563
Appointed,4,0.002007125
Appointee,2,0.001003563
Appointees,1,0.000501781
Appointing,3,0.001505344
Appointment,4,0.002007125
Appointments,2,0.001003563
Appoints,4,0.002007125
Appomattox,1,0.000501781
Appraisals,1,0.000501781
Appreciate,1,0.000501781
Appreciating,1,0.000501781
Apprentice,8,0.004014251
Apprentice,5,0.002508907
Apprentices,1,0.000501781
Apprentices,1,0.000501781
Apprenticeships,1,0.000501781
Approach,20,0.010035626
Approaches,6,0.003010688
Approaching,1,0.000501781
Appropriate,6,0.003010688
Appropriate,1,0.000501781
Appropriately,1,0.000501781
Appropriations,2,0.001003563
Approval,34,0.017060565
Approvals,1,0.000501781
Approve,10,0.005017813
Approved,4,0.002007125
Approves,21,0.010537408
Approving,1,0.000501781
Approvingly,1,0.000501781
Apps,1,0.000501781
April,46,0.023081941
Apt,1,0.000501781
Aptitude,1,0.000501781
AR-15,4,0.002007125
Arab,11,0.005519595
Arab-American,1,0.000501781
Arab-Americans,1,0.000501781
Arabia,22,0.011039189
Arabic,2,0.001003563
Arabs,6,0.003010688
Arafat,1,0.000501781
Aramaic,1,0.000501781
Arbitrary,1,0.000501781
Arc,1,0.000501781
Arc,1,0.000501781
Arcane,1,0.000501781
Arch-Conservative,1,0.000501781
Arch-Conservatives,1,0.000501781
Archduke,1,0.000501781
Archetype,1,0.000501781
Archie,1,0.000501781
Architect,2,0.001003563
Architects,2,0.001003563
Archives,1,0.000501781
Archnemesis,1,0.000501781
Arctic,16,0.008028501
Are,3,0.001505344
Area,9,0.004516032
Areas,6,0.003010688
Argentina,1,0.000501781
Argentine,1,0.000501781
Argentinian,2,0.001003563
Argue,5,0.002508907
Argued,1,0.000501781
Argues,7,0.003512469
Arguing,3,0.001505344
Argument,26,0.013046314
Arguments,13,0.006523157
Arianna,5,0.002508907
Arise,1,0.000501781
Arizona,64,0.032114005
Arkansans,1,0.000501781
Arkansas,35,0.017562346
Arlington,7,0.003512469
Arm,8,0.004014251
Armageddon,2,0.001003563
Armed,24,0.012042752
Armenia,1,0.000501781
Armenian,2,0.001003563
Arming,2,0.001003563
Armistice,1,0.000501781
Arms,30,0.01505344
Army,41,0.020573034
Army,1,0.000501781
Arne,3,0.001505344
Arnold,6,0.003010688
Arnold,1,0.000501781
Around,51,0.025590848
around,1,0.000501781
Arpaio,49,0.024587285
Arquette,1,0.000501781
Arraigned,1,0.000501781
Arrest,27,0.013548096
Arrested,54,0.027096191
Arrested,1,0.000501781
Arresting,3,0.001505344
Arrests,14,0.007024939
Arrival,2,0.001003563
Arrive,1,0.000501781
Arrived,3,0.001505344
arrived,1,0.000501781
Arrives,4,0.002007125
Arriving,2,0.001003563
Arrogance,2,0.001003563
Arrogant,2,0.001003563
Arrogant,1,0.000501781
Arsenal,3,0.001505344
Arsenal,1,0.000501781
Arson,3,0.001505344
Arsonist,1,0.000501781
Art,25,0.012544533
Arthur,2,0.001003563
Article,5,0.002508907
article,1,0.000501781
Articulates,1,0.000501781
Artificially,1,0.000501781
Artist,6,0.003010688
artist,1,0.000501781
Artists,3,0.001505344
Arts,6,0.003010688
Artur,1,0.000501781
As,2,0.001003563
Asa,1,0.000501781
ASAP,1,0.000501781
Asbestos,2,0.001003563
Ascendency,1,0.000501781
Ash,1,0.000501781
Ashamed,7,0.003512469
Ashamed,1,0.000501781
Ashes,2,0.001003563
Ashley,1,0.000501781
Ashore,1,0.000501781
Ashton,1,0.000501781
Asia,6,0.003010688
Asian,19,0.009533845
Asian-American,9,0.004516032
Asian-Americans,6,0.003010688
Asians,7,0.003512469
Asia-Pacific,1,0.000501781
Aside,6,0.003010688
Asinine,1,0.000501781
Ask,58,0.029103317
Ask,1,0.000501781
Asked,57,0.028601535
asked,1,0.000501781
Asking,22,0.011039189
Asking,1,0.000501781
Asks,83,0.04164785
Asleep,2,0.001003563
Aspects,1,0.000501781
Aspiring,1,0.000501781
Ass,6,0.003010688
Assad,16,0.008028501
Assail,1,0.000501781
Assailed,1,0.000501781
Assails,5,0.002508907
Assange,6,0.003010688
Assassiation,1,0.000501781
Assassination,7,0.003512469
Assassinations,1,0.000501781
Assault,81,0.040644287
assault,1,0.000501781
Assault,1,0.000501781
Assaulted,6,0.003010688
Assaulting,7,0.003512469
Assaults,3,0.001505344
Assemble,1,0.000501781
Assembles,1,0.000501781
Assembly,4,0.002007125
Assemblyman,2,0.001003563
Assemblyman/Surfer,1,0.000501781
Assertion,1,0.000501781
Asserts,1,0.000501781
Assess,1,0.000501781
Assessment,3,0.001505344
Asset,5,0.002508907
Assholes,1,0.000501781
Assign,1,0.000501781
Assigned,3,0.001505344
Assimilation,1,0.000501781
Assini,2,0.001003563
Assist,1,0.000501781
Assistance,2,0.001003563
Assistant,4,0.002007125
Assisted,1,0.000501781
Assisting,1,0.000501781
Associate,1,0.000501781
Associated,3,0.001505344
Associates,1,0.000501781
Association,6,0.003010688
Assuage,1,0.000501781
Assume,2,0.001003563
Assumed,1,0.000501781
Assumption,1,0.000501781
Assured,1,0.000501781
Assures,2,0.001003563
Ass-Whuppin,1,0.000501781
Astonished,1,0.000501781
Astounding,1,0.000501781
Astray,1,0.000501781
Astronaut,3,0.001505344
Astros,1,0.000501781
⊙︿⊙,1,0.000501781
Asylum,14,0.007024939
Asylum-Seeker,1,0.000501781
Asylum-Seekers,3,0.001505344
Asylum-Seeking,1,0.000501781
At,2,0.001003563
Ate,3,0.001505344
ATF,1,0.000501781
Atheist,4,0.002007125
Atheist,1,0.000501781
Atheists,9,0.004516032
Athlete,2,0.001003563
Athletes,6,0.003010688
Atlanta,7,0.003512469
Atlantic,7,0.003512469
Atmosphere,2,0.001003563
Atmosphere,1,0.000501781
Atmospheric,1,0.000501781
Atoll,1,0.000501781
Atomic,2,0.001003563
